timestamp,machine_id,temperature,vibration,operating_status,fault_code,fault_message
2026-09-01 10:25:00,MACHINE-001,71.6,0.22,ON,0,None
2026-09-01 10:30:00,MACHINE-001,71.5,0.22,ON,0,None
2026-09-01 10:35:00,MACHINE-001,71.4,0.22,ON,0,None
2026-09-01 10:40:00,MACHINE-001,71.3,0.22,ON,0,None
2026-09-01 10:45:00,MACHINE-001,71.3,0.21,ON,0,None
2026-09-01 10:50:00,MACHINE-001,71.2,0.21,ON,0,None
2026-09-01 10:55:00,MACHINE-001,71.2,0.21,ON,0,None
2026-09-01 11:00:00,MACHINE-001,71.1,0.21,ON,0,None
2026-09-01 11:05:00,MACHINE-001,71.0,0.21,ON,0,None
2026-09-01 11:10:00,MACHINE-001,70.9,0.21,ON,0,None
2026-09-01 11:15:00,MACHINE-001,70.9,0.21,ON,0,None
2026-09-01 11:20:00,MACHINE-001,70.8,0.21,ON,0,None
2026-09-01 11:25:00,MACHINE-001,70.7,0.21,ON,0,None
2026-09-01 11:30:00,MACHINE-001,70.7,0.21,ON,0,None
2026-09-01 11:35:00,MACHINE-001,72.3,0.31,ON,0,None
2026-09-01 11:40:00,MACHINE-001,74.1,0.42,ON,0,None
2026-09-01 11:45:00,MACHINE-001,76.5,0.53,ON,0,None
2026-09-01 11:50:00,MACHINE-001,79.2,0.65,ON,0,None
2026-09-01 11:55:00,MACHINE-001,82.4,0.79,ON,0,None
2026-09-01 12:00:00,MACHINE-001,85.9,0.94,ON,102,HIGH_VIBRATION
2026-09-01 12:05:00,MACHINE-001,87.3,1.02,ON,102,HIGH_VIBRATION
2026-09-01 12:10:00,MACHINE-001,88.1,1.11,ON,102,HIGH_VIBRATION
2026-09-01 12:15:00,MACHINE-001,86.7,0.98,ON,102,HIGH_VIBRATION
2026-09-01 12:20:00,MACHINE-001,84.3,0.85,ON,102,HIGH_VIBRATION
2026-09-01 12:25:00,MACHINE-001,82.0,0.72,ON,0,None
2026-09-01 12:30:00,MACHINE-001,79.8,0.61,ON,0,None
2026-09-01 12:35:00,MACHINE-001,77.5,0.52,ON,0,None
2026-09-01 12:40:00,MACHINE-001,75.3,0.43,ON,0,None
2026-09-01 12:45:00,MACHINE-001,73.8,0.36,ON,0,None
2026-09-01 12:50:00,MACHINE-001,72.6,0.29,ON,0,None
2026-09-01 12:55:00,MACHINE-001,72.1,0.25,ON,0,None
2026-09-01 13:00:00,MACHINE-001,72.0,0.23,ON,0,None
2026-09-01 13:05:00,MACHINE-001,71.8,0.22,IDLE,0,None
2026-09-01 13:10:00,MACHINE-001,71.0,0.10,IDLE,0,None
2026-09-01 13:15:00,MACHINE-001,70.3,0.08,IDLE,0,None
2026-09-01 13:20:00,MACHINE-001,69.6,0.07,IDLE,0,None
2026-09-01 13:25:00,MACHINE-001,69.0,0.06,IDLE,0,None
2026-09-01 13:30:00,MACHINE-001,68.5,0.05,IDLE,0,None
2026-09-01 13:35:00,MACHINE-001,68.0,0.05,IDLE,0,None
2026-09-01 13:40:00,MACHINE-001,67.6,0.05,IDLE,0,None
2026-09-01 13:45:00,MACHINE-001,67.2,0.04,IDLE,0,None
2026-09-01 13:50:00,MACHINE-001,66.9,0.04,IDLE,0,None
2026-09-01 13:55:00,MACHINE-001,66.6,0.04,IDLE,0,None
2026-09-01 14:00:00,MACHINE-001,66.3,0.04,IDLE,0,None
2026-09-01 14:05:00,MACHINE-001,66.1,0.03,IDLE,0,None
2026-09-01 14:10:00,MACHINE-001,65.9,0.03,IDLE,0,None
2026-09-01 14:15:00,MACHINE-001,65.7,0.03,IDLE,0,None
2026-09-01 14:20:00,MACHINE-001,65.5,0.03,OFF,0,None
2026-09-01 14:25:00,MACHINE-001,64.0,0.01,OFF,0,None
2026-09-01 14:30:00,MACHINE-001,62.5,0.01,OFF,0,None
2026-09-01 14:35:00,MACHINE-001,61.1,0.01,OFF,0,None
2026-09-01 14:40:00,MACHINE-001,59.8,0.01,OFF,0,None
2026-09-01 14:45:00,MACHINE-001,58.5,0.00,OFF,0,None
2026-09-01 14:50:00,MACHINE-001,57.3,0.00,OFF,0,None
2026-09-01 14:55:00,MACHINE-001,56.2,0.00,OFF,0,None
2026-09-01 15:00:00,MACHINE-001,55.1,0.00,OFF,0,None
2026-09-01 15:05:00,MACHINE-001,54.1,0.00,OFF,0,None
2026-09-01 15:10:00,MACHINE-001,53.2,0.00,OFF,0,None
2026-09-01 15:15:00,MACHINE-001,52.3,0.00,OFF,0,None
2026-09-01 15:20:00,MACHINE-001,51.5,0.00,OFF,0,None
2026-09-01 15:25:00,MACHINE-001,50.8,0.00,OFF,0,None
2026-09-01 15:30:00,MACHINE-001,50.2,0.00,OFF,0,None
2026-09-01 15:35:00,MACHINE-001,49.7,0.00,OFF,0,None
2026-09-01 15:40:00,MACHINE-001,65.4,0.17,ON,0,None
2026-09-01 15:45:00,MACHINE-001,66.9,0.19,ON,0,None
2026-09-01 15:50:00,MACHINE-001,68.5,0.21,ON,0,None
2026-09-01 15:55:00,MACHINE-001,70.0,0.22,ON,0,None
2026-09-01 16:00:00,MACHINE-001,71.4,0.23,ON,0,None
2026-09-01 16:05:00,MACHINE-001,72.7,0.24,ON,0,None
2026-09-01 16:10:00,MACHINE-001,73.8,0.25,ON,0,None
2026-09-01 16:15:00,MACHINE-001,74.9,0.25,ON,0,None
2026-09-01 16:20:00,MACHINE-001,75.8,0.26,ON,0,None
2026-09-01 16:25:00,MACHINE-001,76.5,0.27,ON,0,None
2026-09-01 16:30:00,MACHINE-001,77.2,0.28,ON,0,None
2026-09-01 16:35:00,MACHINE-001,77.9,0.28,ON,0,None
2026-09-01 16:40:00,MACHINE-001,78.5,0.29,ON,0,None
2026-09-01 16:45:00,MACHINE-001,79.0,0.30,ON,0,None
2026-09-01 16:50:00,MACHINE-001,79.5,0.30,ON,0,None
2026-09-01 16:55:00,MACHINE-001,79.9,0.31,ON,0,None
2026-09-01 17:00:00,MACHINE-001,80.3,0.32,ON,0,None
2026-09-01 17:05:00,MACHINE-001,80.8,0.34,ON,0,None
2026-09-01 17:10:00,MACHINE-001,81.5,0.37,ON,0,None
2026-09-01 17:15:00,MACHINE-001,82.3,0.40,ON,0,None
2026-09-01 17:20:00,MACHINE-001,83.2,0.44,ON,0,None
2026-09-01 17:25:00,MACHINE-001,84.3,0.48,ON,0,None
2026-09-01 17:30:00,MACHINE-001,85.6,0.53,ON,0,None
2026-09-01 17:35:00,MACHINE-001,87.1,0.59,ON,0,None
2026-09-01 17:40:00,MACHINE-001,88.8,0.66,ON,0,None
2026-09-01 17:45:00,MACHINE-001,90.7,0.74,ON,201,MOTOR_FAULT
2026-09-01 17:50:00,MACHINE-001,92.8,0.83,ON,201,MOTOR_FAULT
2026-09-01 17:55:00,MACHINE-001,94.1,0.89,ON,201,MOTOR_FAULT
2026-09-01 18:00:00,MACHINE-001,78.5,0.45,ON,0,None
2026-09-01 18:05:00,MACHINE-001,75.2,0.34,ON,0,None
2026-09-01 18:10:00,MACHINE-001,73.1,0.27,ON,0,None
2026-09-01 18:15:00,MACHINE-001,72.0,0.24,ON,0,None
2026-09-01 18:20:00,MACHINE-001,71.5,0.23,ON,0,None
2026-09-01 18:25:00,MACHINE-001,71.2,0.22,ON,0,None
2026-09-01 18:30:00,MACHINE-001,71.0,0.22,IDLE,0,None
2026-09-01 18:35:00,MACHINE-001,70.2,0.09,IDLE,0,None
2026-09-01 18:40:00,MACHINE-001,69.5,0.07,IDLE,0,None
2026-09-01 18:45:00,MACHINE-001,68.8,0.06,IDLE,0,None
2026-09-01 18:50:00,MACHINE-001,68.2,0.05,IDLE,0,None
2026-09-01 18:55:00,MACHINE-001,67.7,0.05,IDLE,0,None
2026-09-01 19:00:00,MACHINE-001,67.2,0.04,IDLE,0,None
2026-09-01 19:05:00,MACHINE-001,66.8,0.04,IDLE,0,None
2026-09-01 19:10:00,MACHINE-001,66.4,0.04,IDLE,0,None
2026-09-01 19:15:00,MACHINE-001,66.1,0.03,IDLE,0,None
2026-09-01 19:20:00,MACHINE-001,65.8,0.03,IDLE,0,None
2026-09-01 19:25:00,MACHINE-001,65.5,0.03,OFF,0,None
2026-09-01 19:30:00,MACHINE-001,64.1,0.01,OFF,0,None
2026-09-01 19:35:00,MACHINE-001,62.8,0.01,OFF,0,None
2026-09-01 19:40:00,MACHINE-001,61.5,0.01,OFF,0,None
2026-09-01 19:45:00,MACHINE-001,60.3,0.00,OFF,0,None
2026-09-01 19:50:00,MACHINE-001,59.2,0.00,OFF,0,None
2026-09-01 19:55:00,MACHINE-001,58.1,0.00,OFF,0,None
2026-09-01 20:00:00,MACHINE-001,57.1,0.00,OFF,0,None
